;prompt_gt;completion_gt;missing_edges;total_edges;total_nodes;prompt_edges;prompt_nodes;nb_completion_candidates;completion_best_rank;completion_best_eval;completion_best_rank_score;completion_best_eval_score;completion_best_rank_correct_edges;completion_best_eval_correct_edges;completion_best_rank_lines_missing;completion_best_eval_lines_missing;completion_best_rank_additional_lines;completion_best_eval_additional_lines;completion_best_rank_result;completion_best_eval_result;best_rank;completion_reason_best;completion_reason_best_rank
49;e 0 1 Add_port Pres_Component Add_Port\ne 9 1 Add_src Add_Connector Add_Port\ne 9 10 Add_requ Add_Connector Add_Requ\ne 3 10 Add_requ Pres_Package Add_Requ\ne 3 7 Add_con Pres_Package Add_Connector\ne; 7 4 Add_requ Add_Connector Add_Requ\ne 3 4 Add_requ Pres_Package Add_Requ\ne 3 9 Add_con Pres_Package Add_Connector\ne 9 6 Add_t Add_Connector Add_Port\ne 2 6 Add_port Pres_Component Add_Port\ne 7 5 Add_src Add_Connector Add_Port\ne 8 5 Add_port Pres_Component Add_Port\ne 7 11 Add_t Add_Connector Add_Port\ne 12 11 Add_port Pres_Component Add_Port\n$$;9;14;13;5;6;11;e 0 1 Add_port Pres_Component Add_Port\ne 9 1 Add_src Add_Connector Add_Port\ne 9 10 Add_requ Add_Connector Add_Requ\ne 3 10 Add_requ Pres_Package Add_Requ\ne 3 7 Add_con Pres_Package Add_Connector\ne 7 8 Add_requ Add_Connector Add_Requ\ne 3 8 Add_requ Pres_Package Add_Requ\ne 3 9 Add_con Pres_Package Add_Connector\ne 9 5 Add_t Add_Connector Add_Port\ne 2 5 Add_port Pres_Component Add_Port\ne 2 4 Add_port Pres_Component Add_Port\ne 12 4 Add_t Add_Connector Add_Port\ne 12 6 Add_requ Add_Connector Add_Requ\ne 3 6 Add_requ Pres_Package Add_Requ\ne 3 12 Add_con Pres_Package Add_Connector\ne 12 1 Add_src Add_Connector Add_Port\ne;e 0 1 Add_port Pres_Component Add_Port\ne 9 1 Add_src Add_Connector Add_Port\ne 9 10 Add_requ Add_Connector Add_Requ\ne 3 10 Add_requ Pres_Package Add_Requ\ne 3 7 Add_con Pres_Package Add_Connector\ne 7 8 Add_requ Add_Connector Add_Requ\ne 3 8 Add_requ Pres_Package Add_Requ\ne 3 9 Add_con Pres_Package Add_Connector\ne;0;49994;0;3;9;6;11;0;INCORRECT;TOO_SMALL;7;;
50;e 0 2 Add_component Pres_Package Add_Component\ne 2 1 Add_requ Add_Component Add_Requ\ne 0 1 Add_requ Pres_Package Add_Requ\ne 0 3 Add_im Pres_Package Add_Im\ne 3 2 Add_component Add_Im Add_Component\ne; 2 3 Add_im Add_Component Add_Im\n$$;1;6;4;5;4;1;e 0 2 Add_component Pres_Package Add_Component\ne 2 1 Add_requ Add_Component Add_Requ\ne 0 1 Add_requ Pres_Package Add_Requ\ne 0 3 Add_im Pres_Package Add_Im\ne 3 2 Add_component Add_Im Add_Component\ne 2 3 Add_im Add_Component Add_Im\n$$;e 0 2 Add_component Pres_Package Add_Component\ne 2 1 Add_requ Add_Component Add_Requ\ne 0 1 Add_requ Pres_Package Add_Requ\ne 0 3 Add_im Pres_Package Add_Im\ne 3 2 Add_component Add_Im Add_Component\ne 2 3 Add_im Add_Component Add_Im\n$$;50001;50001;1;1;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
51;e 0 1 Add_component Pres_Package Add_Component\ne 1 3 Add_requ Add_Component Add_Requ\ne 0 3 Add_requ Pres_Package Add_Requ\ne 0 2 Add_im Pres_Package Add_Im\ne 2 1 Add_component Add_Im Add_Component\ne; 1 2 Add_im Add_Component Add_Im\n$$;1;6;4;5;4;1;e 0 1 Add_component Pres_Package Add_Component\ne 1 3 Add_requ Add_Component Add_Requ\ne 0 3 Add_requ Pres_Package Add_Requ\ne 0 2 Add_im Pres_Package Add_Im\ne 2 1 Add_component Add_Im Add_Component\ne 1 2 Add_im Add_Component Add_Im\n$$;e 0 1 Add_component Pres_Package Add_Component\ne 1 3 Add_requ Add_Component Add_Requ\ne 0 3 Add_requ Pres_Package Add_Requ\ne 0 2 Add_im Pres_Package Add_Im\ne 2 1 Add_component Add_Im Add_Component\ne 1 2 Add_im Add_Component Add_Im\n$$;50001;50001;1;1;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
52;e 0 2 Add_component Add_Package Add_Component\ne 2 1 Add_requ Add_Component Add_Requ\ne 3 1 Add_requ Pres_Package Add_Requ\ne; 3 0 Add_package Pres_Package Add_Package\n$$;1;4;4;3;4;1;e 0 2 Add_component Add_Package Add_Component\ne 2 1 Add_requ Add_Component Add_Requ\ne 3 1 Add_requ Pres_Package Add_Requ\ne 3 0 Add_package Pres_Package Add_Package\n$$;e 0 2 Add_component Add_Package Add_Component\ne 2 1 Add_requ Add_Component Add_Requ\ne 3 1 Add_requ Pres_Package Add_Requ\ne 3 0 Add_package Pres_Package Add_Package\n$$;50001;50001;1;1;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
53;e 0 2 Add_requ Add_Component Add_Requ\ne 3 2 Add_requ Pres_Package Add_Requ\ne 3 1 Add_package Pres_Package Add_Package\ne; 1 0 Add_component Add_Package Add_Component\n$$;1;4;4;3;4;1;e 0 2 Add_requ Add_Component Add_Requ\ne 3 2 Add_requ Pres_Package Add_Requ\ne 3 1 Add_package Pres_Package Add_Package\ne 1 0 Add_component Add_Package Add_Component\n$$;e 0 2 Add_requ Add_Component Add_Requ\ne 3 2 Add_requ Pres_Package Add_Requ\ne 3 1 Add_package Pres_Package Add_Package\ne 1 0 Add_component Add_Package Add_Component\n$$;50001;50001;1;1;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
54;e 0 3 Add_component Add_Im Add_Component\ne; 3 1 Add_requ Add_Component Add_Requ\ne 2 1 Add_requ Pres_Package Add_Requ\ne 2 3 Add_component Pres_Package Add_Component\ne 3 0 Add_im Add_Component Add_Im\ne 2 0 Add_im Pres_Package Add_Im\n$$;5;6;4;1;2;1;e 0 3 Add_component Add_Im Add_Component\ne 3 1 Add_requ Add_Component Add_Requ\ne 2 1 Add_requ Pres_Package Add_Requ\ne 2 3 Add_component Pres_Package Add_Component\ne 3 0 Add_im Add_Component Add_Im\ne 2 0 Add_im Pres_Package Add_Im\n$$;e 0 3 Add_component Add_Im Add_Component\ne 3 1 Add_requ Add_Component Add_Requ\ne 2 1 Add_requ Pres_Package Add_Requ\ne 2 3 Add_component Pres_Package Add_Component\ne 3 0 Add_im Add_Component Add_Im\ne 2 0 Add_im Pres_Package Add_Im\n$$;50001;50001;5;5;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
55;e 0 3 Add_component Add_Package Add_Component\ne; 3 1 Add_requ Add_Component Add_Requ\ne 2 1 Add_requ Pres_Package Add_Requ\ne 2 0 Add_package Pres_Package Add_Package\n$$;3;4;4;1;2;1;e 0 3 Add_component Add_Package Add_Component\ne 3 2 Add_requ Add_Component Add_Requ\ne 1 2 Add_requ Pres_Package Add_Requ\ne 1 0 Add_package Pres_Package Add_Package\n$$;e 0 3 Add_component Add_Package Add_Component\ne 3 2 Add_requ Add_Component Add_Requ\ne 1 2 Add_requ Pres_Package Add_Requ\ne 1 0 Add_package Pres_Package Add_Package\n$$;50001;50001;3;3;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
56;e 0 3 Add_con Pres_Package Add_Connector\ne; 3 1 Add_requ Add_Connector Add_Requ\ne 0 1 Add_requ Pres_Package Add_Requ\ne 3 2 Add_src Add_Connector Add_Port\ne 5 2 Add_port Pres_Component Add_Port\ne 3 6 Add_t Add_Connector Add_Port\ne 4 6 Add_port Pres_Component Add_Port\n$$;6;7;7;1;2;3;e 0 3 Add_con Pres_Package Add_Connector\ne 3 2 Add_requ Add_Connector Add_Requ\ne 0 2 Add_requ Pres_Package Add_Requ\ne 3 6 Add_src Add_Connector Add_Port\ne;e 0 3 Add_con Pres_Package Add_Connector\ne 3 2 Add_requ Add_Connector Add_Requ\ne 0 2 Add_requ Pres_Package Add_Requ\ne 3 6 Add_src Add_Connector Add_Port\ne 1 6 Add_port Pres_Component Add_Port\ne 3 5 Add_t Add_Connector Add_Port\ne 4 5 Add_port Pres_Component Add_Port\n$$;49997;50001;3;6;3;0;0;0;TOO_SMALL;ISOMORPHIC;2;STOP_TOKEN;
57;e 0 4 Add_requ Add_Component Add_Requ\ne 2 4 Add_requ Pres_Package Add_Requ\ne 2 0 Add_component Pres_Package Add_Component\ne 0 5 Add_im Add_Component Add_Im\ne 5 0 Add_component Add_Im Add_Component\ne 2 5 Add_im Pres_Package Add_Im\ne 2 6 Add_component Pres_Package Add_Component\ne 6 1 Add_requ Add_Component Add_Requ\ne 2 1 Add_requ Pres_Package Add_Requ\ne 2 3 Add_im Pres_Package Add_Im\ne 3 6 Add_component Add_Im Add_Component\ne; 6 3 Add_im Add_Component Add_Im\n$$;1;12;7;11;7;1;e 0 4 Add_requ Add_Component Add_Requ\ne 2 4 Add_requ Pres_Package Add_Requ\ne 2 0 Add_component Pres_Package Add_Component\ne 0 5 Add_im Add_Component Add_Im\ne 5 0 Add_component Add_Im Add_Component\ne 2 5 Add_im Pres_Package Add_Im\ne 2 6 Add_component Pres_Package Add_Component\ne 6 1 Add_requ Add_Component Add_Requ\ne 2 1 Add_requ Pres_Package Add_Requ\ne 2 3 Add_im Pres_Package Add_Im\ne 3 6 Add_component Add_Im Add_Component\ne 6 3 Add_im Add_Component Add_Im\n$$;e 0 4 Add_requ Add_Component Add_Requ\ne 2 4 Add_requ Pres_Package Add_Requ\ne 2 0 Add_component Pres_Package Add_Component\ne 0 5 Add_im Add_Component Add_Im\ne 5 0 Add_component Add_Im Add_Component\ne 2 5 Add_im Pres_Package Add_Im\ne 2 6 Add_component Pres_Package Add_Component\ne 6 1 Add_requ Add_Component Add_Requ\ne 2 1 Add_requ Pres_Package Add_Requ\ne 2 3 Add_im Pres_Package Add_Im\ne 3 6 Add_component Add_Im Add_Component\ne 6 3 Add_im Add_Component Add_Im\n$$;50001;50001;1;1;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
58;e 0 2 Add_component Add_Im Add_Component\ne; 2 3 Add_requ Add_Component Add_Requ\ne 1 3 Add_requ Pres_Package Add_Requ\ne 1 2 Add_component Pres_Package Add_Component\ne 2 0 Add_im Add_Component Add_Im\ne 1 0 Add_im Pres_Package Add_Im\n$$;5;6;4;1;2;2;e 0 2 Add_component Add_Im Add_Component\ne 2 1 Add_requ Add_Component Add_Requ\ne 3 1 Add_requ Pres_Package Add_Requ\ne 3 2 Add_component Pres_Package Add_Component\ne;e 0 2 Add_component Add_Im Add_Component\ne 2 1 Add_requ Add_Component Add_Requ\ne 3 1 Add_requ Pres_Package Add_Requ\ne 3 2 Add_component Pres_Package Add_Component\ne 2 0 Add_im Add_Component Add_Im\ne 3 0 Add_im Pres_Package Add_Im\n$$;49998;50001;3;5;2;0;0;0;TOO_SMALL;ISOMORPHIC;1;STOP_TOKEN;
59;e 0 1 Add_requ Add_Component Add_Requ\ne; 2 1 Add_requ Pres_Package Add_Requ\ne 2 0 Add_component Pres_Package Add_Component\ne 0 3 Add_im Add_Component Add_Im\ne 3 0 Add_component Add_Im Add_Component\ne 2 3 Add_im Pres_Package Add_Im\n$$;5;6;4;1;2;3;e 0 1 Add_requ Add_Component Add_Requ\ne 2 1 Add_requ Pres_Package Add_Requ\ne 2 0 Add_component Pres_Package Add_Component\ne 0 3 Add_im Add_Component Add_Im\ne 3 0 Add_component Add_Im Add_Component\ne 2 3 Add_im Pres_Package Add_Im\n$$;e 0 1 Add_requ Add_Component Add_Requ\ne 2 1 Add_requ Pres_Package Add_Requ\ne 2 0 Add_component Pres_Package Add_Component\ne 0 3 Add_im Add_Component Add_Im\ne 3 0 Add_component Add_Im Add_Component\ne 2 3 Add_im Pres_Package Add_Im\n$$;50001;50001;5;5;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
60;e 0 4 Add_con Pres_Package Add_Connector\ne 4 1 Add_requ Add_Connector Add_Requ\ne 0 1 Add_requ Pres_Package Add_Requ\ne; 4 5 Add_src Add_Connector Add_Port\ne 2 5 Add_port Pres_Component Add_Port\ne 4 3 Add_t Add_Connector Add_Port\ne 6 3 Add_port Pres_Component Add_Port\n$$;4;7;7;3;3;1;e 0 4 Add_con Pres_Package Add_Connector\ne 4 1 Add_requ Add_Connector Add_Requ\ne 0 1 Add_requ Pres_Package Add_Requ\ne 4 5 Add_src Add_Connector Add_Port\ne 3 5 Add_port Pres_Component Add_Port\ne 4 2 Add_t Add_Connector Add_Port\ne 6 2 Add_port Pres_Component Add_Port\n$$;e 0 4 Add_con Pres_Package Add_Connector\ne 4 1 Add_requ Add_Connector Add_Requ\ne 0 1 Add_requ Pres_Package Add_Requ\ne 4 5 Add_src Add_Connector Add_Port\ne 3 5 Add_port Pres_Component Add_Port\ne 4 2 Add_t Add_Connector Add_Port\ne 6 2 Add_port Pres_Component Add_Port\n$$;50001;50001;4;4;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
61;e 0 6 Add_requ Add_Connector Add_Requ\ne 2 6 Add_requ Pres_Package Add_Requ\ne 2 0 Add_con Pres_Package Add_Connector\ne 0 4 Add_src Add_Connector Add_Port\ne 5 4 Add_port Pres_Component Add_Port\ne 0 1 Add_t Add_Connector Add_Port\ne; 3 1 Add_port Pres_Component Add_Port\n$$;1;7;7;6;6;1;e 0 6 Add_requ Add_Connector Add_Requ\ne 2 6 Add_requ Pres_Package Add_Requ\ne 2 0 Add_con Pres_Package Add_Connector\ne 0 4 Add_src Add_Connector Add_Port\ne 5 4 Add_port Pres_Component Add_Port\ne 0 1 Add_t Add_Connector Add_Port\ne 3 1 Add_port Pres_Component Add_Port\n$$;e 0 6 Add_requ Add_Connector Add_Requ\ne 2 6 Add_requ Pres_Package Add_Requ\ne 2 0 Add_con Pres_Package Add_Connector\ne 0 4 Add_src Add_Connector Add_Port\ne 5 4 Add_port Pres_Component Add_Port\ne 0 1 Add_t Add_Connector Add_Port\ne 3 1 Add_port Pres_Component Add_Port\n$$;50001;50001;1;1;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
62;e 3 0 Add_requ Pres_Package Add_Requ\ne 3 4 Add_con Pres_Package Add_Connector\ne 4 0 Add_requ Add_Connector Add_Requ\ne 4 6 Add_src Add_Connector Add_Port\ne 2 6 Add_port Pres_Component Add_Port\ne 4 1 Add_t Add_Connector Add_Port\ne; 5 1 Add_port Pres_Component Add_Port\n$$;1;7;7;6;6;1;e 3 0 Add_requ Pres_Package Add_Requ\ne 3 4 Add_con Pres_Package Add_Connector\ne 4 0 Add_requ Add_Connector Add_Requ\ne 4 6 Add_src Add_Connector Add_Port\ne 2 6 Add_port Pres_Component Add_Port\ne 4 1 Add_t Add_Connector Add_Port\ne 5 1 Add_port Pres_Component Add_Port\n$$;e 3 0 Add_requ Pres_Package Add_Requ\ne 3 4 Add_con Pres_Package Add_Connector\ne 4 0 Add_requ Add_Connector Add_Requ\ne 4 6 Add_src Add_Connector Add_Port\ne 2 6 Add_port Pres_Component Add_Port\ne 4 1 Add_t Add_Connector Add_Port\ne 5 1 Add_port Pres_Component Add_Port\n$$;50001;50001;1;1;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
63;e 0 3 Add_requ Add_Component Add_Requ\ne 2 3 Add_requ Pres_Package Add_Requ\ne 2 0 Add_component Pres_Package Add_Component\ne 0 1 Add_im Add_Component Add_Im\ne 1 0 Add_component Add_Im Add_Component\ne; 2 1 Add_im Pres_Package Add_Im\n$$;1;6;4;5;4;1;e 0 3 Add_requ Add_Component Add_Requ\ne 2 3 Add_requ Pres_Package Add_Requ\ne 2 0 Add_component Pres_Package Add_Component\ne 0 1 Add_im Add_Component Add_Im\ne 1 0 Add_component Add_Im Add_Component\ne 2 1 Add_im Pres_Package Add_Im\n$$;e 0 3 Add_requ Add_Component Add_Requ\ne 2 3 Add_requ Pres_Package Add_Requ\ne 2 0 Add_component Pres_Package Add_Component\ne 0 1 Add_im Add_Component Add_Im\ne 1 0 Add_component Add_Im Add_Component\ne 2 1 Add_im Pres_Package Add_Im\n$$;50001;50001;1;1;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
64;e 0 2 Add_requ Add_Component Add_Requ\ne 3 2 Add_requ Pres_Package Add_Requ\ne 3 0 Add_component Pres_Package Add_Component\ne 0 1 Add_im Add_Component Add_Im\ne 1 0 Add_component Add_Im Add_Component\ne; 3 1 Add_im Pres_Package Add_Im\n$$;1;6;4;5;4;1;e 0 2 Add_requ Add_Component Add_Requ\ne 3 2 Add_requ Pres_Package Add_Requ\ne 3 0 Add_component Pres_Package Add_Component\ne 0 1 Add_im Add_Component Add_Im\ne 1 0 Add_component Add_Im Add_Component\ne 3 1 Add_im Pres_Package Add_Im\n$$;e 0 2 Add_requ Add_Component Add_Requ\ne 3 2 Add_requ Pres_Package Add_Requ\ne 3 0 Add_component Pres_Package Add_Component\ne 0 1 Add_im Add_Component Add_Im\ne 1 0 Add_component Add_Im Add_Component\ne 3 1 Add_im Pres_Package Add_Im\n$$;50001;50001;1;1;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
65;e 0 2 Add_package Pres_Package Add_Package\ne; 2 1 Add_component Add_Package Add_Component\ne 1 3 Add_requ Add_Component Add_Requ\ne 0 3 Add_requ Pres_Package Add_Requ\n$$;3;4;4;1;2;1;e 0 2 Add_package Pres_Package Add_Package\ne 2 1 Add_component Add_Package Add_Component\ne 1 3 Add_requ Add_Component Add_Requ\ne 0 3 Add_requ Pres_Package Add_Requ\n$$;e 0 2 Add_package Pres_Package Add_Package\ne 2 1 Add_component Add_Package Add_Component\ne 1 3 Add_requ Add_Component Add_Requ\ne 0 3 Add_requ Pres_Package Add_Requ\n$$;50001;50001;3;3;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
66;e 0 19 Add_port Pres_Component Add_Port\ne 21 19 Add_t Add_Connector Add_Port\ne 21 10 Add_requ Add_Connector Add_Requ\ne 6 10 Add_requ Pres_Package Add_Requ\ne 6 15 Add_package Pres_Package Add_Package\ne; 15 20 Add_component Add_Package Add_Component\ne 20 5 Add_port Add_Component Add_Port\ne 12 5 Add_src Add_Connector Add_Port\ne 12 11 Add_requ Add_Connector Add_Requ\ne 9 11 Add_requ Pres_Package Add_Requ\ne 9 12 Add_con Pres_Package Add_Connector\ne 12 4 Add_t Add_Connector Add_Port\ne 14 4 Add_port Pres_Component Add_Port\ne 20 3 Add_requ Add_Component Add_Requ\ne 6 3 Add_requ Pres_Package Add_Requ\ne 6 21 Add_con Pres_Package Add_Connector\ne 21 7 Add_src Add_Connector Add_Port\ne 1 7 Add_port Pres_Component Add_Port\ne 1 16 Add_port Pres_Component Add_Port\ne 17 16 Add_t Add_Connector Add_Port\ne 17 8 Add_requ Add_Connector Add_Requ\ne 13 8 Add_requ Pres_Package Add_Requ\ne 13 17 Add_con Pres_Package Add_Connector\ne 17 2 Add_src Add_Connector Add_Port\ne 18 2 Add_port Pres_Component Add_Port\n$$;20;25;22;5;6;8;e 0 19 Add_port Pres_Component Add_Port\ne 21 19 Add_t Add_Connector Add_Port\ne 21 10 Add_requ Add_Connector Add_Requ\ne 6 10 Add_requ Pres_Package Add_Requ\ne 6 15 Add_package Pres_Package Add_Package\ne 15 22 Add_component Add_Package Add_Component\ne 22 24 Add_requ Add_Component Add_Requ\ne 6 24 Add_requ Pres_Package Add_Requ\ne 6 21 Add_con Pres_Package Add_Connector\ne 21 13 Add_src Add_Connector Add_Port\ne 8 13 Add_port Pres_Component Add_Port\ne 6 3 Add_con Pres_Package Add_Connector\ne 3 17 Add_requ Add_Connector Add_Requ\ne 6 17 Add_requ Pres_Package Add_Requ\ne;e 0 19 Add_port Pres_Component Add_Port\ne 21 19 Add_t Add_Connector Add_Port\ne 21 10 Add_requ Add_Connector Add_Requ\ne 6 10 Add_requ Pres_Package Add_Requ\ne 6 15 Add_package Pres_Package Add_Package\ne 15 22 Add_component Add_Package Add_Component\ne 22 24 Add_requ Add_Component Add_Requ\ne 6 24 Add_requ Pres_Package Add_Requ\ne 6 21 Add_con Pres_Package Add_Connector\ne 21 13 Add_src Add_Connector Add_Port\ne 8 13 Add_port Pres_Component Add_Port\ne;0;49986;0;6;20;14;9;0;INCORRECT;TOO_SMALL;1;;
67;e 0 1 Add_requ Add_Component Add_Requ\ne 3 1 Add_requ Pres_Package Add_Requ\ne 3 2 Add_package Pres_Package Add_Package\ne; 2 0 Add_component Add_Package Add_Component\n$$;1;4;4;3;4;1;e 0 1 Add_requ Add_Component Add_Requ\ne 3 1 Add_requ Pres_Package Add_Requ\ne 3 2 Add_package Pres_Package Add_Package\ne 2 0 Add_component Add_Package Add_Component\n$$;e 0 1 Add_requ Add_Component Add_Requ\ne 3 1 Add_requ Pres_Package Add_Requ\ne 3 2 Add_package Pres_Package Add_Package\ne 2 0 Add_component Add_Package Add_Component\n$$;50001;50001;1;1;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
68;e 0 4 Add_port Pres_Component Add_Port\ne 6 4 Add_src Add_Connector Add_Port\ne 6 3 Add_requ Add_Connector Add_Requ\ne 5 3 Add_requ Pres_Package Add_Requ\ne 5 6 Add_con Pres_Package Add_Connector\ne 6 1 Add_t Add_Connector Add_Port\ne; 2 1 Add_port Pres_Component Add_Port\n$$;1;7;7;6;6;1;e 0 4 Add_port Pres_Component Add_Port\ne 6 4 Add_src Add_Connector Add_Port\ne 6 3 Add_requ Add_Connector Add_Requ\ne 5 3 Add_requ Pres_Package Add_Requ\ne 5 6 Add_con Pres_Package Add_Connector\ne 6 1 Add_t Add_Connector Add_Port\ne 2 1 Add_port Pres_Component Add_Port\n$$;e 0 4 Add_port Pres_Component Add_Port\ne 6 4 Add_src Add_Connector Add_Port\ne 6 3 Add_requ Add_Connector Add_Requ\ne 5 3 Add_requ Pres_Package Add_Requ\ne 5 6 Add_con Pres_Package Add_Connector\ne 6 1 Add_t Add_Connector Add_Port\ne 2 1 Add_port Pres_Component Add_Port\n$$;50001;50001;1;1;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
69;e 0 6 Add_con Pres_Package Add_Connector\ne 6 3 Add_requ Add_Connector Add_Requ\ne 0 3 Add_requ Pres_Package Add_Requ\ne 6 5 Add_src Add_Connector Add_Port\ne 4 5 Add_port Pres_Component Add_Port\ne 6 2 Add_t Add_Connector Add_Port\ne; 1 2 Add_port Pres_Component Add_Port\n$$;1;7;7;6;6;1;e 0 6 Add_con Pres_Package Add_Connector\ne 6 3 Add_requ Add_Connector Add_Requ\ne 0 3 Add_requ Pres_Package Add_Requ\ne 6 5 Add_src Add_Connector Add_Port\ne 4 5 Add_port Pres_Component Add_Port\ne 6 2 Add_t Add_Connector Add_Port\ne 1 2 Add_port Pres_Component Add_Port\n$$;e 0 6 Add_con Pres_Package Add_Connector\ne 6 3 Add_requ Add_Connector Add_Requ\ne 0 3 Add_requ Pres_Package Add_Requ\ne 6 5 Add_src Add_Connector Add_Port\ne 4 5 Add_port Pres_Component Add_Port\ne 6 2 Add_t Add_Connector Add_Port\ne 1 2 Add_port Pres_Component Add_Port\n$$;50001;50001;1;1;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
70;e 2 0 Add_requ Add_Component Add_Requ\ne 2 1 Add_im Add_Component Add_Im\ne 1 2 Add_component Add_Im Add_Component\ne 4 2 Add_component Pres_Package Add_Component\ne 4 6 Add_package Pres_Package Add_Package\ne 6 3 Add_component Add_Package Add_Component\ne 3 5 Add_requ Add_Component Add_Requ\ne 4 5 Add_requ Pres_Package Add_Requ\ne 4 0 Add_requ Pres_Package Add_Requ\ne; 4 1 Add_im Pres_Package Add_Im\n$$;1;10;7;9;7;1;e 2 0 Add_requ Add_Component Add_Requ\ne 2 1 Add_im Add_Component Add_Im\ne 1 2 Add_component Add_Im Add_Component\ne 4 2 Add_component Pres_Package Add_Component\ne 4 6 Add_package Pres_Package Add_Package\ne 6 3 Add_component Add_Package Add_Component\ne 3 5 Add_requ Add_Component Add_Requ\ne 4 5 Add_requ Pres_Package Add_Requ\ne 4 0 Add_requ Pres_Package Add_Requ\ne 4 1 Add_im Pres_Package Add_Im\n$$;e 2 0 Add_requ Add_Component Add_Requ\ne 2 1 Add_im Add_Component Add_Im\ne 1 2 Add_component Add_Im Add_Component\ne 4 2 Add_component Pres_Package Add_Component\ne 4 6 Add_package Pres_Package Add_Package\ne 6 3 Add_component Add_Package Add_Component\ne 3 5 Add_requ Add_Component Add_Requ\ne 4 5 Add_requ Pres_Package Add_Requ\ne 4 0 Add_requ Pres_Package Add_Requ\ne 4 1 Add_im Pres_Package Add_Im\n$$;50001;50001;1;1;0;0;0;0;ISOMORPHIC;ISOMORPHIC;0;STOP_TOKEN;STOP_TOKEN
71;e 0 11 Add_port Pres_Component Add_Port\ne 3 11 Add_src Add_Connector Add_Port\ne; 3 6 Add_requ Add_Connector Add_Requ\ne 4 6 Add_requ Pres_Package Add_Requ\ne 4 3 Add_con Pres_Package Add_Connector\ne 3 12 Add_t Add_Connector Add_Port\ne 9 12 Add_port Pres_Component Add_Port\ne 4 2 Add_con Pres_Package Add_Connector\ne 2 8 Add_requ Add_Connector Add_Requ\ne 4 8 Add_requ Pres_Package Add_Requ\ne 2 1 Add_src Add_Connector Add_Port\ne 5 1 Add_port Pres_Component Add_Port\ne 2 10 Add_t Add_Connector Add_Port\ne 7 10 Add_port Pres_Component Add_Port\n$$;12;14;13;2;3;6;e 0 11 Add_port Pres_Component Add_Port\ne 3 11 Add_src Add_Connector Add_Port\ne 3 6 Add_requ Add_Connector Add_Requ\ne 10 6 Add_requ Pres_Package Add_Requ\ne 10 3 Add_con Pres_Package Add_Connector\ne 3 1 Add_t Add_Connector Add_Port\ne 4 1 Add_port Pres_Component Add_Port\ne 4 8 Add_port Pres_Component Add_Port\ne 7 8 Add_t Add_Connector Add_Port\ne 7 2 Add_requ Add_Connector Add_Requ\ne 9 2 Add_requ Pres_Package Add_Requ\ne 9 7 Add_con Pres_Package Add_Connector\ne;e 0 11 Add_port Pres_Component Add_Port\ne 3 11 Add_src Add_Connector Add_Port\ne 3 6 Add_requ Add_Connector Add_Requ\ne 10 6 Add_requ Pres_Package Add_Requ\ne 10 3 Add_con Pres_Package Add_Connector\ne 3 1 Add_t Add_Connector Add_Port\ne 4 1 Add_port Pres_Component Add_Port\ne;0;49993;0;5;12;7;10;0;INCORRECT;TOO_SMALL;4;NEW_EDGE_DECAY;
